experiment,plate,row,col,path,protect,plant,protect_od,path_od,date_inoc,date_germ,date_ster,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,A,1,N2C3,WCS365,col0,0.05,0.01,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,B,1,N2C3,WCS365,col0,0.01,0.01,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,C,1,N2C3,WCS365,col0,0.005,0.01,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,D,1,N2C3,WCS365,col0,0.001,0.01,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,E,1,MOCK,WCS365,col0,0.05,0,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,F,1,MOCK,WCS365,col0,0.01,0,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,G,1,MOCK,WCS365,col0,0.005,0,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,H,1,MOCK,WCS365,col0,0.001,0,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,A,2,N2C3,WCS365,col0,0.05,0.005,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,B,2,N2C3,WCS365,col0,0.01,0.005,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,C,2,N2C3,WCS365,col0,0.005,0.005,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,D,2,N2C3,WCS365,col0,0.001,0.005,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,E,2,N2C3,WCS365,col0,0.05,0.000625,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,F,2,N2C3,WCS365,col0,0.01,0.000625,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,G,2,N2C3,WCS365,col0,0.005,0.000625,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,H,2,N2C3,WCS365,col0,0.001,0.000625,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,A,3,N2C3,WCS365,col0,0.05,0.0025,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,B,3,N2C3,WCS365,col0,0.01,0.0025,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,C,3,N2C3,WCS365,col0,0.005,0.0025,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,D,3,N2C3,WCS365,col0,0.001,0.0025,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,E,3,N2C3,WCS365,col0,0.05,0.00125,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,F,3,N2C3,WCS365,col0,0.01,0.00125,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,G,3,N2C3,WCS365,col0,0.005,0.00125,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,H,3,N2C3,WCS365,col0,0.001,0.00125,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,A,4,N2C3,WCS365,col0,0.05,0.00125,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,B,4,N2C3,WCS365,col0,0.01,0.00125,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,C,4,N2C3,WCS365,col0,0.005,0.00125,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,D,4,N2C3,WCS365,col0,0.001,0.00125,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,E,4,N2C3,WCS365,col0,0.05,0.0025,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,F,4,N2C3,WCS365,col0,0.01,0.0025,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,G,4,N2C3,WCS365,col0,0.005,0.0025,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,H,4,N2C3,WCS365,col0,0.001,0.0025,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,A,5,N2C3,WCS365,col0,0.05,0.000625,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
2023-02-01_gradient_polymyxan2c3,N2C3_plate001_cropped,B,5,N2C3,WCS365,col0,0.01,0.000625,2023-02-01,2023-01-27,2023-01-24,,,,,0.5,0.5,5.8,
