plate,experiment,row,col,date_ster,date_germ,date_inoc,date_process,transfer_h,strain1_od,strain2_od,strain1,strain2,plant,plate_filled_with,Type,light_lx,temp_dn,MS,MES,pH,notes,Incubator_germ,Incubator_growth
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,1,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,2,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,3,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,4,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,5,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,6,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,8,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,9,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,10,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,11,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A,12,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B,1,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
