UniqueID	plate	experiment	well	row	col	plate_filled_with	StrainMix	strain1	lacZ_strain1	fluor_strain1	strain2	lacZ_strain2	fluor_strain2	transfer_h	plant	strain1_od	strain2_od	Type	date_ster	date_germ	date_inoc	date_process	light_dn	light_lx	temp_dn	MS	MES	pH	notes	plant_quality	strain0	Incubator_germ	Incubator_growth	totalOD	ratio_strain2	ratio_strain1	ratio	strain2_cells	strain1_cells	total_cells	strain2_cells_log	strain1_cells_log	total_cells_log	plant_age	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median	hue	saturation	value	Healthiness_rgb	Healthiness_hsv	neon_top	crim_top	neon_btm	crim_btm	abs600	readtime	abs600nm	crim_top_blanks	neon_top_blanks	fluor_offset	crim_raw_blanked	neon_raw_blanked	ratio_cn_fluor	CN_FC_fluor	CN_FC_fluor_offset	S12_FC_fluor	S12_FC_fluor_offset	WN_FC_fluor	WN_FC_fluor_offset
2024_03_Peffect_Trial5_PlateP1_T0_Dip_Trial5_A_1	PlateP1_T0_Dip_Trial5	2024-03-20	A1	A	1	MOCK	WCS365-MOCK	WCS365	NA	neon	MOCK	NA	NA	0.01	col0	0.001	0	doubledip	2024-03-13	2024-03-15	2024-03-20	2024-03-27	NA	110	23_23	0.5	0.5	5.8	NA	good	NA	NA	NA	0.001	0	1	0-1	0	1457500	1457500	0	6.16360886140315	6.16360886140315	5	3339	0.331576132845483	0.278616301546392	0.235709736123749	0.364605543710021	0.352087114337568	0.265588914549654	0.482366771159875	0.415666152984029	0.308807467077744	182	147	113	37	34	-6	0.0821256038647343	0.379120879120879	0.713725490196078	77.5224222698544	109.713717831129	10508	2662	NA	NA	NA	7	0.0724	2296.50980392157	15084.5882352941	-1.293638561443	365.490196078431	-4576.58823529412	NA	NA	NA	NA	NA	NA	NA
2024_03_Peffect_Trial5_PlateP1_T0_Dip_Trial5_A_2	PlateP1_T0_Dip_Trial5	2024-03-20	A2	A	2	MOCK	WCS365-MOCK	WCS365	NA	neon	MOCK	NA	NA	0.01	col0	0.001	0	doubledip	2024-03-13	2024-03-15	2024-03-20	2024-03-27	NA	110	23_23	0.5	0.5	5.8	NA	good	NA	NA	NA	0.001	0	1	0-1	0	1457500	1457500	0	6.16360886140315	6.16360886140315	5	9414	0.326860841423948	0.396600566572238	0.198630136986301	0.338815789473684	0.444444444444444	0.214532871972318	0.351594775495026	0.458333333333333	0.267967796772823	105	137	65	38	70	32	0.240740740740741	0.525547445255474	0.537254901960784	532.49192346326	502.770454662627	671076	3216	NA	NA	NA	7	0.1376	2296.50980392157	15084.5882352941	-1.293638561443	919.490196078431	655991.411764706	0.00140168023481417	-9.47862701966783	-8.18498845822483	9.47862701966783	8.18498845822483	9.47862701966783	8.18498845822483
2024_03_Peffect_Trial5_PlateP1_T0_Dip_Trial5_A_3	PlateP1_T0_Dip_Trial5	2024-03-20	A3	A	3	MOCK	WCS365-MOCK	WCS365	NA	neon	MOCK	NA	NA	0.01	col0	0.001	0	doubledip	2024-03-13	2024-03-15	2024-03-20	2024-03-27	NA	110	23_23	0.5	0.5	5.8	NA	good	NA	NA	NA	0.001	0	1	0-1	0	1457500	1457500	0	6.16360886140315	6.16360886140315	5	5053	0.333333333333333	0.386453248571537	0.180609318996416	0.347972972972973	0.43026706231454	0.221538461538462	0.362989323843416	0.458745874587459	0.274606872451951	117	145	74	42	70	27	0.232394366197183	0.489655172413793	0.568627450980392	459.250769460403	421.448147725064	1005410	3495	NA	NA	NA	7	0.1885	2296.50980392157	15084.5882352941	-1.293638561443	1198.49019607843	990325.411764706	0.00121019836696181	-9.69054074164463	-8.39690218020163	9.69054074164463	8.39690218020163	9.69054074164463	8.39690218020163
2024_03_Peffect_Trial5_PlateP1_T0_Dip_Trial5_A_4	PlateP1_T0_Dip_Trial5	2024-03-20	A4	A	4	MOCK	WCS365-MOCK	WCS365	NA	neon	MOCK	NA	NA	0.01	col0	0.001	0	doubledip	2024-03-13	2024-03-15	2024-03-20	2024-03-27	NA	110	23_23	0.5	0.5	5.8	NA	good	NA	NA	NA	0.001	0	1	0-1	0	1457500	1457500	0	6.16360886140315	6.16360886140315	5	9902	0.318367346938775	0.395605729222234	0.201492537313433	0.333333333333333	0.442567567567568	0.227106227106227	0.344444444444444	0.460905349794239	0.271274857460715	95	127	64	31	62	31	0.251322751322751	0.496062992125984	0.498039215686275	495.475080602197	498.159900275259	3232484	538	NA	NA	NA	7	0.6987	2296.50980392157	15084.5882352941	-1.293638561443	-1758.50980392157	3217399.41176471	NA	NA	NA	NA	NA	NA	NA
2024_03_Peffect_Trial5_PlateP1_T0_Dip_Trial5_A_5	PlateP1_T0_Dip_Trial5	2024-03-20	A5	A	5	MOCK	WCS365-MOCK	WCS365	NA	neon	MOCK	NA	NA	0.01	col0	0.001	0	doubledip	2024-03-13	2024-03-15	2024-03-20	2024-03-27	NA	110	23_23	0.5	0.5	5.8	NA	good	NA	NA	NA	0.001	0	1	0-1	0	1457500	1457500	0	6.16360886140315	6.16360886140315	5	6718	0.329704172638955	0.387356833307538	0.178913738019169	0.34393063583815	0.440397350993377	0.217252396166134	0.359322033898305	0.467880591630592	0.274249625244368	110	140	68	40	71	31	0.236111111111111	0.514285714285714	0.549019607843137	509.031517264935	464.744134989468	3379618	2964	NA	NA	NA	7	0.4477	2296.50980392157	15084.5882352941	-1.293638561443	667.490196078431	3364533.41176471	0.000198390122607916	-12.2993721805349	-11.0057336190919	12.2993721805349	11.0057336190919	12.2993721805349	11.0057336190919
2024_03_Peffect_Trial5_PlateP1_T0_Dip_Trial5_A_6	PlateP1_T0_Dip_Trial5	2024-03-20	A6	A	6	MOCK	WCS365-MOCK	WCS365	NA	neon	MOCK	NA	NA	0.01	col0	0.001	0	doubledip	2024-03-13	2024-03-15	2024-03-20	2024-03-27	NA	110	23_23	0.5	0.5	5.8	NA	good	NA	NA	NA	0.001	0	1	0-1	0	1457500	1457500	0	6.16360886140315	6.16360886140315	5	3069	0.325	0.385786802030457	0.214046822742475	0.336700336700337	0.424137931034483	0.238993710691824	0.353770966870503	0.439446366782007	0.280753608158327	107	134	76	31	58	27	0.244252873563218	0.432835820895522	0.525490196078431	390.559498053445	368.665126760648	491154	4583	NA	NA	NA	7	0.1507	2296.50980392157	15084.5882352941	-1.293638561443	2286.49019607843	476069.411764706	0.0048028504658655	-7.70189339291221	-6.4082548314692	7.70189339291221	6.4082548314692	7.70189339291221	6.4082548314692
2024_03_Peffect_Trial5_PlateP1_T0_Dip_Trial5_A_7	PlateP1_T0_Dip_Trial5	2024-03-20	A7	A	7	MOCK	N2C3-MOCK	N2C3	NA	crim	MOCK	NA	NA	0.01	col0	0.001	0	doubledip	2024-03-13	2024-03-15	2024-03-20	2024-03-27	NA	110	23_23	0.5	0.5	5.8	NA	good	NA	NA	NA	0.001	0	1	0-1	0	1457500	1457500	0	6.16360886140315	6.16360886140315	5	4449	0.332214765100671	0.383495145631068	0.195364238410596	0.349081364829396	0.427672955974843	0.223837209302326	0.361702127659574	0.452054794520548	0.276422764227642	114	139	72	40	66	25	0.228855721393035	0.482014388489209	0.545098039215686	423.209761273788	402.456979628592	31275	481776	NA	NA	NA	7	0.3076	2296.50980392157	15084.5882352941	-1.293638561443	479479.490196078	16190.4117647059	29.6150275338466	4.88825752233128	6.18189608377428	4.88825752233128	6.18189608377428	-4.88825752233128	-6.18189608377428
2024_03_Peffect_Trial5_PlateP1_T0_Dip_Trial5_A_8	PlateP1_T0_Dip_Trial5	2024-03-20	A8	A	8	MOCK	N2C3-MOCK	N2C3	NA	crim	MOCK	NA	NA	0.01	col0	0.001	0	doubledip	2024-03-13	2024-03-15	2024-03-20	2024-03-27	NA	110	23_23	0.5	0.5	5.8	NA	good	NA	NA	NA	0.001	0	1	0-1	0	1457500	1457500	0	6.16360886140315	6.16360886140315	5	6201	0.326666666666667	0.389645776566757	0.18978102189781	0.338658146964856	0.437710437710438	0.22508038585209	0.358620689655172	0.458823529411765	0.27390180878553	104	133	67	33	63	30	0.23989898989899	0.496240601503759	0.52156862745098	466.481406713861	451.491876416822	21076	290008	NA	NA	NA	7	0.1552	2296.50980392157	15084.5882352941	-1.293638561443	287711.490196078	5991.41176470588	48.0206504735536	5.58558304090913	6.87922160235213	5.58558304090913	6.87922160235213	-5.58558304090913	-6.87922160235213
2024_03_Peffect_Trial5_PlateP1_T0_Dip_Trial5_A_9	PlateP1_T0_Dip_Trial5	2024-03-20	A9	A	9	MOCK	N2C3-MOCK	N2C3	NA	crim	MOCK	NA	NA	0.01	col0	0.001	0	doubledip	2024-03-13	2024-03-15	2024-03-20	2024-03-27	NA	110	23_23	0.5	0.5	5.8	NA	good	NA	NA	NA	0.001	0	1	0-1	0	1457500	1457500	0	6.16360886140315	6.16360886140315	5	5239	0.332401447792903	0.38742527669163	0.187898089171975	0.341530054644809	0.438485804416404	0.219931271477663	0.357358298737609	0.460567823343849	0.27393676254561	114	145	71	40	72	31	0.236486486486486	0.510344827586207	0.568627450980392	498.390392455819	448.884810498036	24388	382170	NA	NA	NA	7	0.1344	2296.50980392157	15084.5882352941	-1.293638561443	379873.490196078	9303.41176470588	40.8316325025186	5.35161534445398	6.64525390589698	5.35161534445398	6.64525390589698	-5.35161534445398	-6.64525390589698
2024_03_Peffect_Trial5_PlateP1_T0_Dip_Trial5_A_10	PlateP1_T0_Dip_Trial5	2024-03-20	A10	A	10	MOCK	N2C3-MOCK	N2C3	NA	crim	MOCK	NA	NA	0.01	col0	0.001	0	doubledip	2024-03-13	2024-03-15	2024-03-20	2024-03-27	NA	110	23_23	0.5	0.5	5.8	NA	good	NA	NA	NA	0.001	0	1	0-1	0	1457500	1457500	0	6.16360886140315	6.16360886140315	5	5720	0.329787234042553	0.390373687262419	0.20064673386515	0.339285714285714	0.43613707165109	0.220779220779221	0.359308093036907	0.457912457912458	0.272012565445026	107	137	67	37	66	30	0.238095238095238	0.510948905109489	0.537254901960784	473.441465418474	457.113375640592	22733	262656	NA	NA	NA	7	0.169	2296.50980392157	15084.5882352941	-1.293638561443	260359.490196078	7648.41176470588	34.040987620139	5.08920098896199	6.38283955040499	5.08920098896199	6.38283955040499	-5.08920098896199	-6.38283955040499
