plate,experiment,Wells,row,col,readtime,date_ster,date_germ,date_inoc,date_process,transfer_h,strain1_od,strain2_od,strain1,strain2,plant,plate_filled_with,Type,light_lx,temp_dn,MS,MES,pH,notes,Incubator_germ,Incubator_growth
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A01,A,1,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A02,A,2,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A03,A,3,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A04,A,4,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A05,A,5,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A06,A,6,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A07,A,7,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A08,A,8,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A09,A,9,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A10,A,10,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A11,A,11,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,A12,A,12,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B01,B,1,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,WCS365-_neon,N2C3-_crim,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in W, then in N, 3sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B02,B,2,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B03,B,3,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B04,B,4,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B05,B,5,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B06,B,6,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B07,B,7,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,0.01,0.001,0.001,N2C3-_crim,WCS365-_neon,col0,MOCK,doubledip,110,23_23,0.5,0.5,5.8,"dipped in N, then in W, 3 sec",4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B08,B,8,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B09,B,9,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B10,B,10,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
PlateA_T0_Dip_Mel_Trial4,2024-02_Peffect_Trial4,B11,B,11,7,2024-02-07,2024-02-09,2024-02-14,2024-02-21,NA,NA,NA,NA,NA,NOPLANT,MOCK,doubledip,110,23_23,0.5,0.5,5.8,,4thfloor,2ndfloor
